grade,kanji
3,丁
3,世
3,両
3,主
3,乗
3,予
3,事
3,仕
3,他
3,代
3,住
3,使
3,係
3,倍
3,全
3,具
3,写
3,列
3,助
3,勉
3,動
3,勝
3,化
3,区
3,医
3,去
3,反
3,取
3,受
3,号
3,向
3,君
3,味
3,命
3,和
3,品
3,員
3,商
3,問
3,坂
3,央
3,始
3,委
3,守
3,安
3,定
3,実
3,客
3,宮
3,宿
3,寒
3,対
3,局
3,屋
3,岸
3,島
3,州
3,帳
3,平
3,幸
3,度
3,庫
3,庭
3,式
3,役
3,待
3,急
3,息
3,悪
3,悲
3,想
3,意
3,感
3,所
3,打
3,投
3,拾
3,持
3,指
3,放
3,整
3,旅
3,族
3,昔
3,昭
3,暑
3,暗
3,曲
3,有
3,服
3,期
3,板
3,柱
3,根
3,植
3,業
3,様
3,横
3,橋
3,次
3,歯
3,死
3,氷
3,決
3,油
3,波
3,注
3,泳
3,洋
3,流
3,消
3,深
3,温
3,港
3,湖
3,湯
3,漢
3,炭
3,物
3,球
3,由
3,申
3,界
3,畑
3,病
3,発
3,登
3,皮
3,皿
3,相
3,県
3,真
3,着
3,短
3,研
3,礼
3,神
3,祭
3,福
3,秒
3,究
3,章
3,童
3,笛
3,第
3,筆
3,等
3,箱
3,級
3,終
3,緑
3,練
3,羊
3,美
3,習
3,者
3,育
3,苦
3,荷
3,落
3,葉
3,薬
3,血
3,表
3,詩
3,調
3,談
3,豆
3,負
3,起
3,路
3,身
3,転
3,軽
3,農
3,返
3,追
3,送
3,速
3,進
3,遊
3,運
3,部
3,都
3,配
3,酒
3,重
3,鉄
3,銀
3,開
3,院
3,陽
3,階
3,集
3,面
3,題
3,飲
3,館
3,駅
3,鼻
